年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),平均風速(m/s),最大風速(m/s),桜(初見〜満開)
2011/1/1,6.6,10.8,2.2,0,7.9,2.3,4.6,0
2011/1/2,7,11,4.1,0,8.4,2.2,4.6,0
2011/1/3,5.9,9.2,3.1,0,5.2,2.1,4.4,0
2011/1/4,6.3,9.8,3.3,0,8.4,3,5.1,0
2011/1/5,7.3,11,2.8,0,7.4,3.3,7.1,0
2011/1/6,6.5,10.8,3.1,0,6.7,4.3,6.9,0
2011/1/7,4,7.3,1.8,0,9.2,4.7,7.7,0
2011/1/8,5.9,10,1,0,9.2,2.4,5,0
2011/1/9,6.1,12.2,0.6,0,9.1,2.1,5.4,0
2011/1/10,3.4,6.1,1.4,0,9.2,5.1,9,0
2011/1/11,3.8,6.4,0.5,0,6.7,2.4,4.9,0
2011/1/12,5.1,9.5,1.9,0,8.4,2.5,6.4,0
2011/1/13,4.4,7.7,2.4,0,8.6,3.8,6.5,0
2011/1/14,3.8,7.3,0,0,9.1,1.7,3.3,0
2011/1/15,4,7.4,0.2,0,1.1,1.9,3.9,0
2011/1/16,2.2,5.9,-1.1,0,8.2,3.5,7.7,0
2011/1/17,5,11,-0.2,0,8.7,3.1,6.7,0
2011/1/18,5.5,10.6,0.1,0,9.4,2.4,6.5,0
2011/1/19,6.3,10.6,1.7,0,9.3,2,4.2,0
2011/1/20,5.4,10.1,2.2,0,9.4,2.9,6.2,0
2011/1/21,5,8.5,2.3,0,9.3,3.2,6.2,0
2011/1/22,6,10.4,2.6,0,9.4,2.1,4.6,0
2011/1/23,5.7,9.4,2.4,0,6.3,1.8,4.2,0
2011/1/24,5.1,8.2,2.5,3.5,3.5,2.1,4.3,0
2011/1/25,5.9,10.2,2.9,0,8.6,3,6.4,0
2011/1/26,5.3,9.7,1.4,0,7.3,2.5,6,0
2011/1/27,5.5,10.5,0.9,0,8,2.9,6.7,0
2011/1/28,3.7,8,0.4,0,9.3,3.4,6.4,0
2011/1/29,4.2,7.6,1.4,0,7.8,1.9,5.2,0
2011/1/30,2.9,6.1,0.6,0,5.1,3.1,7,0
2011/1/31,2.9,7.4,-1,0,9.7,2.5,5.4,0
2011/2/1,5.9,12.7,-0.8,0,9.6,2.5,6.5,0
2011/2/2,5.8,9,2.4,0,2.2,2.2,5.2,0
2011/2/3,7.4,11.9,2,0,9.6,2.3,4.9,0
2011/2/4,8.8,13.8,3.8,0,9.6,2.3,4.9,0
2011/2/5,8.1,11.4,3.8,0,4.7,2,4.2,0
2011/2/6,8.3,12.2,5.5,0,3.8,2,4.5,0
2011/2/7,8.2,13.8,4.5,0,9.4,3.9,7.6,0
2011/2/8,5.8,7.8,3.5,1,0.5,2.6,6.4,0
2011/2/9,5,9.1,1.2,5.5,5.2,2.6,5.7,0
2011/2/10,6.5,9.6,4.1,0,5.5,3.6,7.2,0
2011/2/11,2,5.5,0.8,11,0,2.6,4.6,0
2011/2/12,2.1,3.9,0.8,2.5,0.1,2.8,4.9,0
2011/2/13,4.7,8.7,-0.2,0,9.8,2.9,6,0
2011/2/14,3.3,6.6,0.3,21,0.4,2.4,4.7,0
2011/2/15,5.3,10.3,0.7,2.5,8,3.1,7.4,0
2011/2/16,6.8,12.2,1.6,0,9.8,2.3,5.2,0
2011/2/17,10,14.6,5.6,0,1.8,2.7,7.2,0
2011/2/18,9.1,14.5,5.3,76.5,5,5.4,10.4,0
2011/2/19,6.1,8.7,3.7,0,0.3,3,6,0
2011/2/20,7,9.1,5,1,0,2.7,4.4,0
2011/2/21,7.1,9.9,4.6,0,3.6,3.6,5.7,0
2011/2/22,6.5,11.2,3.1,0,10.3,2.7,5,0
2011/2/23,8.4,13,3.9,0,9.4,2.5,5.2,0
2011/2/24,11.4,14.2,8,0,0.5,2.5,5.7,0
2011/2/25,14.1,20.8,6.8,0,10.1,4.4,8.5,0
2011/2/26,7.2,10.8,3.8,0,10.6,4.2,10.5,0
2011/2/27,10.4,18.7,4.1,0,9.1,2.4,6.3,0
2011/2/28,4.9,9.5,2.2,30,0,3.3,5.6,0
2011/3/1,5.8,7.8,4.4,10.5,0,2.1,4.3,0
2011/3/2,6.8,10.3,2.6,0,1.5,3.1,8.1,0
2011/3/3,4.4,8.1,1.8,0,7.8,4.6,8.5,0
2011/3/4,4.6,8.3,1.9,0,9.4,4.2,7.5,0
2011/3/5,7.4,11.5,1.6,0,10.6,3.2,6.6,0
2011/3/6,9.3,15,2.9,0,6.8,1.9,3.9,0
2011/3/7,4.5,9.3,1,28,0,2.3,5,0
2011/3/8,6.9,10,2.6,0.5,3.5,1.8,5,0
2011/3/9,7.4,12,3.7,0,9.8,3.7,9.1,0
2011/3/10,6.2,10,2.7,0,9.2,3.2,7.1,0
2011/3/11,6.5,11.3,2.9,0,7.8,3.6,8.8,0
2011/3/12,8.2,12.9,2.3,0,9.9,2.9,7.4,0
2011/3/13,11.3,15.9,5.2,0,11,2.4,4.4,0
2011/3/14,14.1,20.2,6.7,0,7.6,3.6,7.5,0
2011/3/15,10.9,14,9.2,0,0.5,2.9,5.2,0
2011/3/16,7.5,13,3.5,0,7.9,4.7,11.2,0
2011/3/17,4.6,8.9,1.8,0,9.2,5.2,8.8,0
2011/3/18,6.1,10.1,1.2,0,11.3,3.8,6.2,0
2011/3/19,12.3,18.2,6.7,0,8.4,3.1,5.8,0
2011/3/20,13.7,17,9.4,0,6,3.5,8.9,0
2011/3/21,9.6,13.4,7.3,20,0,2.7,5,0
2011/3/22,6.9,7.6,5.7,13.5,0,1.9,3.9,0
2011/3/23,6.4,10,2.7,1.5,1.8,2.8,5,0
2011/3/24,5.4,8.1,2.9,0,4,2.3,5.7,0
2011/3/25,8.1,13.4,3.5,0,8.7,3.2,8.3,0
2011/3/26,7.4,11.6,4.3,0,11.7,5.3,9.6,0
2011/3/27,7.4,12,2.9,0,9,3,6.6,0
2011/3/28,8.6,12.7,4.4,0,11.4,2.5,4.7,1
2011/3/29,10.9,15.3,5.2,0,11.5,2.8,6.2,1
2011/3/30,11.6,16.5,6.7,0,10.6,3.1,6.9,1
2011/3/31,9.7,15.5,5.8,0,7.9,2.8,7.2,1
2011/4/1,11.2,15.7,6.6,0,11.8,3.5,7.1,1
2011/4/2,13.4,18.4,9.1,0,3.4,2.2,7,1
2011/4/3,7.9,9.9,6.9,0,0,3.3,7.3,1
2011/4/4,9,13.9,5.9,0,10.8,3.2,6.7,1
2011/4/5,10.1,15.4,4.3,0,12,2.3,4.5,1
2011/4/6,13.7,19.1,7.7,0,12,3,5.7,1
2011/4/7,15.7,20.6,10.3,0,5.3,4.1,8.2,0
2011/4/8,17.2,18.7,15.5,0,1.6,7.1,10.9,0
2011/4/9,16.1,18,12.3,0.5,0,4.9,8.8,0
2011/4/10,13.7,17.7,10.3,0,5.4,3.1,5.6,0
2011/4/11,13.7,19.3,8.6,12,5.9,2.8,7.2,0
2011/4/12,11.4,15.7,7.6,0.5,11.7,4.7,10.3,0
2011/4/13,14.3,20.5,7.1,0,11.9,3.1,5.9,0
2011/4/14,16.7,22.1,11.1,0,12,2.6,5.7,0
2011/4/15,18.4,22.5,13.7,0,8.1,5.4,10.1,0
2011/4/16,18.6,24.6,12.9,0,6.7,4.7,8.4,0
2011/4/17,13.6,17.6,9.6,0,9.3,3.4,6.6,0
2011/4/18,14.9,17.4,12.5,0,1.1,2.9,5.5,0
2011/4/19,10.8,18.1,7.3,23,2.9,3.3,8,0
2011/4/20,10.9,16.7,6.5,0,8.1,2.6,7,0
2011/4/21,12.4,16.2,8.8,0,2.1,2.5,5.3,0
2011/4/22,15.5,18.8,11.4,0,1.4,3.1,6.7,0
2011/4/23,16.5,17.9,14.8,54,0.3,5.7,10.5,0
2011/4/24,16.1,20,11.4,0,11.9,3.8,7.7,0
2011/4/25,15,20.1,10.9,0,8.3,2.5,7.9,0
2011/4/26,16.2,21,11.3,0,9.6,3.2,8.2,0
2011/4/27,20.1,24.4,14.9,2,8.2,7.2,12.5,0
2011/4/28,19.8,24.8,14.3,4,7.8,5.1,8.7,0
2011/4/29,15.1,19.1,12,0,7.6,3,5.7,0
2011/4/30,17.6,22.2,12.3,0,6.8,4.3,10.2,0
2011/5/1,18.4,21.1,15.4,2,0.5,5.6,12.1,0
2011/5/2,19.6,24.2,14.4,0,9.4,2.8,7.7,0
2011/5/3,15.8,18.2,13.5,6,0.1,2.1,3.4,0
2011/5/4,17.3,21.7,13.3,0,10.5,3,7,0
2011/5/5,15.1,17.2,13,0,0.1,3.2,5.2,0
2011/5/6,16,19.6,12.4,0,1.4,2.2,4.1,0
2011/5/7,17,18.4,15.4,1,0,1.8,4.8,0
2011/5/8,20.6,25.9,14.5,0,11.2,2.6,5.8,0
2011/5/9,19.7,23.8,14.8,0,7.9,3.4,8.1,0
2011/5/10,22.8,27.2,18.4,1,0.8,2.8,6.6,0
2011/5/11,15.2,18.5,13.9,35,0,2.4,4.7,0
2011/5/12,15.6,16.8,13.9,15.5,0,2.3,5.3,0
2011/5/13,19.8,24.4,16.1,0,2.9,2.3,7.4,0
2011/5/14,20.1,25.1,14.3,0,9.2,3.1,7.1,0
2011/5/15,20.5,25.6,13.9,0,11.2,4.2,9,0
2011/5/16,20.3,23.5,16.9,0,2.7,4.8,8.3,0
2011/5/17,18.2,21.7,15.3,3.5,0.5,2.7,5.4,0
2011/5/18,19.4,23.7,15.2,0,12.2,3,5.3,0
2011/5/19,20.9,25.7,15.4,0,12.7,3.4,7.7,0
2011/5/20,22,26.7,18.2,0,12.2,3.4,6.4,0
2011/5/21,22.8,27.6,19.3,0,11.8,3.9,6.5,0
2011/5/22,20.8,29.6,15.2,13.5,7.2,4.1,9.7,0
2011/5/23,15.6,18.3,12.8,7,0,2.6,4.3,0
2011/5/24,14.6,18.1,12.2,20.5,3.2,2.4,4.4,0
2011/5/25,18.7,23.8,12.9,0,11.3,2.6,5.5,0
2011/5/26,19.3,22.3,16.1,0,1.6,2.4,5,0
2011/5/27,18.8,20.6,17.1,1,0,2.2,4.3,0
2011/5/28,18.4,19.7,17.1,24,0,2,4.6,0
2011/5/29,18,19.1,16.2,69.5,0,2.3,5.4,0
2011/5/30,17.4,21.7,16.1,14,1.3,4.2,8.2,0
2011/5/31,15.2,18.7,12.2,0,4.4,3.8,6,0
2011/6/1,15.2,18.5,12.1,0,0.4,2.5,4.6,0
2011/6/2,16,17.4,14.3,10,0,1.7,4,0
2011/6/3,19.8,24,15.2,0,7.8,2.2,4.4,0
2011/6/4,22.1,26.3,18.8,0,10.9,3.4,7.6,0
2011/6/5,22.2,25.7,18.3,5.5,3.1,2.6,6,0
2011/6/6,22.9,28.6,17.4,0,11.4,2.9,6.9,0
2011/6/7,21.6,24,20.2,0,0.5,3,7.1,0
2011/6/8,19.7,22.7,17.4,3,1.6,2.2,4.3,0
2011/6/9,21.8,25.6,18.3,0,7.3,2.6,6.2,0
2011/6/10,22.8,24.9,20.6,0,0.5,3.1,6.4,0
2011/6/11,22.2,25.1,20.9,35.5,0.1,2.7,6.7,0
2011/6/12,23.2,26.2,20.8,0,0.3,1.9,4.5,0
2011/6/13,20.9,23.5,18.2,29.5,0,2.1,4.1,0
2011/6/14,21.7,24.6,19.7,0,0.6,2.4,5.4,0
2011/6/15,21.3,23.5,19.6,0,1.7,3,5.8,0
2011/6/16,21.1,23.7,18.4,3.5,0,2.4,5.1,0
2011/6/17,19.2,21,17.7,21.5,0,2.2,4.1,0
2011/6/18,20.3,22.2,18.8,4.5,0,1.5,3,0
2011/6/19,21.8,24.5,19.4,0,0.2,1.9,4.4,0
2011/6/20,23.9,26.5,21.5,0,1.7,2.8,5.3,0
2011/6/21,25.5,29.8,23,1,5.3,3.5,7.2,0
2011/6/22,27.2,31.9,21.8,0,12.4,2.3,5.2,0
2011/6/23,28.2,32.2,25.7,0,4,4.4,7.4,0
2011/6/24,29.1,32.7,26.1,0,7.1,6.3,11,0
2011/6/25,24.3,27.9,20.4,0,3.5,2.9,5.5,0
2011/6/26,21.3,22.7,19.8,0,0,1.6,3.3,0
2011/6/27,22.3,23.8,20.4,1.5,0,1.5,3.4,0
2011/6/28,27.3,31.9,22.7,0,7.9,2.1,5,0
2011/6/29,29.8,35.1,25.3,0,11.5,2.6,7.4,0
2011/6/30,28.7,33.6,25.2,1,5.3,2.4,6.7,0
2011/7/1,28.7,33.9,24.8,0,6,2.3,5.4,0
2011/7/2,26.5,28.9,24.4,0,2.2,2.5,3.8,0
2011/7/3,27.6,31.1,24.1,0,6.6,3,6.2,0
2011/7/4,29.6,34.3,26.9,0,6.9,6.7,10.2,0
2011/7/5,28,32.3,24.3,5.5,6.8,3.6,8.8,0
2011/7/6,28,32.5,25.4,0,10.4,3.4,7.4,0
2011/7/7,26.8,29.7,23.6,0,1.9,4.1,8,0
2011/7/8,28.6,31.4,26.5,0,0,2.4,6.3,0
2011/7/9,29.4,32.5,27.3,0,8.3,2.6,5.7,0
2011/7/10,29.3,33.6,26.4,0,13.3,3.1,6.9,0
2011/7/11,29.2,33.8,26.1,0,12.7,3.2,7.2,0
2011/7/12,28.7,32.3,26.2,0,10.5,4,7.4,0
2011/7/13,28.6,32.7,26.4,0,11.3,3.6,6.9,0
2011/7/14,28.9,33.4,25.9,0,11.3,3.3,6.6,0
2011/7/15,29.4,33.7,25.9,0,13.4,2.9,5.9,0
2011/7/16,29,33.3,26.4,0,13.1,3.9,7.1,0
2011/7/17,29.6,34.1,26.1,0,13.5,4.4,8.2,0
2011/7/18,30.1,34.8,27.4,0,5.3,4.3,7,0
2011/7/19,27.9,28.7,26.5,3.5,0,4.6,8.6,0
2011/7/20,25.9,28.7,21.1,6,0,4.7,8.7,0
2011/7/21,20.7,23.6,18.2,3,2.9,4.1,7.2,0
2011/7/22,21,24.2,18,0,5,3.1,5.5,0
2011/7/23,23.1,27.5,18.9,0,1.8,2.8,5,0
2011/7/24,26,30.3,22.7,0,7.9,3,5.8,0
2011/7/25,27.6,31.5,25.1,0,9.3,4.1,7.8,0
2011/7/26,27.5,30.4,25.4,0,1.9,3.3,7.2,0
2011/7/27,28.3,31.8,25.5,0,1.5,1.9,5.1,0
2011/7/28,26.4,29.6,24.1,2.5,0.1,1.9,3.9,0
2011/7/29,26.5,29.4,25,5,0.3,1.7,4.2,0
2011/7/30,25.7,29.7,23.1,29,2,2,5.3,0
2011/7/31,23.5,25.1,22.2,0,0,3,4.9,0
2011/8/1,24.5,27.3,22.1,0,0.3,2.5,5,0
2011/8/2,25.5,29.1,22,0,1.6,2.3,5.1,0
2011/8/3,26.1,29.3,24.4,15.5,0.9,2,5.2,0
2011/8/4,27.4,31.1,24.3,4.5,5.5,2.6,5.7,0
2011/8/5,27.8,31.2,25.1,4.5,3.4,3.2,5.7,0
2011/8/6,29,32.3,26,0,6.4,2.2,4.8,0
2011/8/7,28.9,34.5,26,20,7.2,2.1,8.1,0
2011/8/8,29.3,33.2,25.5,0,9.4,2.5,5.1,0
2011/8/9,30.2,33.9,27.4,0,9.9,2.6,5.5,0
2011/8/10,30.5,34.6,27.4,0,12.4,3.2,6.9,0
2011/8/11,31,35.2,28.2,0,8.4,2.4,5.6,0
2011/8/12,31.2,35.1,28.1,0,6.6,2.1,4.9,0
2011/8/13,30,34.5,27.2,0,9.7,2.8,6.8,0
2011/8/14,30,33.6,27.7,0,6.5,2.7,6.7,0
2011/8/15,30.3,33.2,27.4,0,9.4,3.1,7.3,0
2011/8/16,30.3,33.6,27.4,0,7.6,2.7,6,0
2011/8/17,30.7,33.8,27.5,0,8.7,3.1,6.5,0
2011/8/18,31.9,36.1,28.7,0,10.8,3.7,6.8,0
2011/8/19,25.3,30.9,22,57,0.3,2.9,6.8,0
2011/8/20,23.7,25.8,22.3,0,0,2.1,3.6,0
2011/8/21,20.6,23.5,19.3,11,0,2,3.7,0
2011/8/22,21.2,22.9,19.5,26,0,1.8,4.3,0
2011/8/23,25.9,30.9,21.4,0,4.8,2.7,6.4,0
2011/8/24,28.1,32,25.6,0,6,3.7,6.9,0
2011/8/25,27.2,29.3,25.1,2.5,0.4,4,5.9,0
2011/8/26,26.2,31.9,22.9,88.5,3.6,2.4,7.8,0
2011/8/27,24.3,27.5,21.9,0.5,0.1,2.5,4.3,0
2011/8/28,25.6,29.8,22.1,0,8.6,2,4,0
2011/8/29,26,29.8,23.1,0,7.4,2.6,4.8,0
2011/8/30,26.3,31.7,22.7,4.5,10.9,2.9,4.6,0
2011/8/31,26.4,30.4,21.6,9.5,2.1,2.6,4.8,0
2011/9/1,28.5,31.9,26,2,0.8,3.2,6.1,0
2011/9/2,28.5,31.9,24.9,27,4.1,4.7,8.6,0
2011/9/3,28,30.4,24.3,19,2.2,6.5,9.8,0
2011/9/4,27.2,29.4,25.6,2,3,4.8,8.4,0
2011/9/5,26.5,29,24.5,15,1.1,3,5.6,0
2011/9/6,24.5,29.3,21.8,14.5,1.9,2.8,7.1,0
2011/9/7,24.9,29.4,20.3,0,9.2,2.5,4.5,0
2011/9/8,25.7,29.7,21.8,0,10.4,3.1,6.8,0
2011/9/9,27.8,31.4,24.1,0,6,3.2,5.7,0
2011/9/10,28.4,32.3,25.6,0,9.9,2.9,6.4,0
2011/9/11,27.7,30.9,25.8,0,6.1,2.9,5.8,0
2011/9/12,28.3,32.5,25.7,0,10.7,3.3,5.9,0
2011/9/13,28.3,32.3,25.6,0,10.4,3.7,6.2,0
2011/9/14,28.3,32.3,25.2,0,8.3,2.9,5.1,0
2011/9/15,28.3,32.4,25.7,0,8.2,3.5,6.4,0
2011/9/16,28.2,31.7,25,5,6.3,4,6.6,0
2011/9/17,28,31.4,25.5,0,4.5,5.1,8.7,0
2011/9/18,28.5,31.7,26.2,0,11.3,4.3,6.4,0
2011/9/19,25.7,31.1,19.5,0.5,3.5,3,6.6,0
2011/9/20,19.9,21.5,18.7,21,0,2.3,4.7,0
2011/9/21,22.2,26.3,17.3,124,0,5.9,16.9,0
2011/9/22,23.4,29.5,18.5,5,5.7,2.8,7.1,0
2011/9/23,20.3,22.5,19,0,0.8,2.1,5.1,0
2011/9/24,20.5,24.8,15.9,0,8.8,2.7,6.8,0
2011/9/25,20.2,23.5,17.5,0,3.9,2.3,4.1,0
2011/9/26,18.9,20.2,17.5,0,0,2.1,4,0
2011/9/27,20.2,23.7,18.1,0,4.4,2.9,5,0
2011/9/28,20.5,24.3,16.7,0,8.8,2.9,4.9,0
2011/9/29,21.9,25.7,17.8,0,9.5,2.6,5.3,0
2011/9/30,24.6,29.6,19.3,0,6,2.4,6,0
2011/10/1,22.2,25.1,19.6,0,1.5,2.8,5.4,0
2011/10/2,18.5,20.1,17.4,0,0,2.1,3.9,0
2011/10/3,18.8,22.9,15.9,0,5.6,3.3,6.5,0
2011/10/4,18.5,22.2,14.9,0,9.9,2.6,5.2,0
2011/10/5,15.9,19,14.4,53.5,0,2.8,5.1,0
2011/10/6,20.4,25.5,15.9,3,5.8,3,4.9,0
2011/10/7,21.1,25.6,17.9,1.5,10.8,4,8.5,0
2011/10/8,19.7,23.2,16.5,0,6.3,2.1,5.2,0
2011/10/9,20.1,22.8,17,0,4.5,2.1,4.3,0
2011/10/10,20.4,24.3,17.5,6,5.9,1.9,4.4,0
2011/10/11,21.2,25.2,18.1,0,3.3,2,4.8,0
2011/10/12,20.5,23.4,17.5,0,6.7,2.1,5.1,0
2011/10/13,20.5,23.7,16.9,0,0.9,2.3,4.2,0
2011/10/14,21.2,25.4,17.4,4,5.5,2.7,6,0
2011/10/15,24.3,26.9,21.6,2,0.3,5.4,10.7,0
2011/10/16,24.8,29.7,20.6,8,6.2,4.2,8.2,0
2011/10/17,21.5,24.6,18.5,0,4.9,2.3,4.7,0
2011/10/18,19.1,21.1,16.5,0,3.5,2.9,5.3,0
2011/10/19,15.9,17.5,14.9,0,0,3.1,5.2,0
2011/10/20,17.7,20.8,14,0,1.3,3.2,5,0
2011/10/21,18.3,21.2,16.5,4,0,2.7,4.8,0
2011/10/22,19.5,23,16.3,37.5,0.1,3.2,6.5,0
2011/10/23,22.7,25.9,20.4,0,2.8,3.1,5.9,0
2011/10/24,20.7,22.7,19.4,0,0.9,2.2,3.9,0
2011/10/25,21.8,26.9,18.4,0,5.9,2.3,6.7,0
2011/10/26,16.7,20.3,13.4,0,9.2,4.4,7.7,0
2011/10/27,15.2,19.3,11.7,0,9.8,2.4,4.3,0
2011/10/28,15.5,19.9,11.2,0,9.4,2.2,5.3,0
2011/10/29,16,20.9,11.6,0,9.3,2.4,4.4,0
2011/10/30,16.9,19.6,14.4,0,3.3,2.3,4.2,0
2011/10/31,18.7,23.4,15.3,0,7.7,2.2,5.6,0
2011/11/1,17.7,21.4,14.3,0,9,2.2,3.9,0
2011/11/2,17.2,21,12.9,0,7.6,2.1,5.3,0
2011/11/3,18.4,21.3,15.6,0,0.7,1.3,3.3,0
2011/11/4,18.4,22,14.8,0,6.3,1.7,3.5,0
2011/11/5,18.9,22.2,15.2,1.5,2.6,1.4,3.3,0
2011/11/6,18.1,19.5,17.2,7,0,1.5,3.5,0
2011/11/7,18.6,22.7,15.9,0,7.2,2.1,4,0
2011/11/8,15.7,17.8,13.9,1,3.2,2.5,4.4,0
2011/11/9,14.3,16.6,11.7,0,1.9,2,3.5,0
2011/11/10,14.1,16.2,11.9,0,0.4,2,4.2,0
2011/11/11,12.4,14.4,11.2,19,0,2.8,4.9,0
2011/11/12,16.4,20.4,12.9,0,6.3,1.9,4.1,0
2011/11/13,17.8,21.7,13.6,0,8.6,1.4,3.1,0
2011/11/14,16.9,20.7,13.2,5.5,3.6,2.2,4.9,0
2011/11/15,14,16.4,11.8,0.5,1.8,2.1,4.4,0
2011/11/16,12.6,15.8,9.7,0,8.7,3.5,7.3,0
2011/11/17,14.5,19.7,9.5,0,9.4,3.3,7.2,0
2011/11/18,12.6,14.3,10.5,0,1.1,1.9,3.8,0
2011/11/19,16.3,22,12.1,78,0,3.2,9.7,0
2011/11/20,17.4,22.1,13.5,0,5.4,2.4,5.4,0
2011/11/21,12.6,16.5,9.3,0,5.9,2.5,5.1,0
2011/11/22,11.1,14.7,7.2,0,7.7,2.4,4.7,0
2011/11/23,12.4,15.6,8.6,0,8.6,2.3,4.6,0
2011/11/24,13.3,18.6,9.5,0,7.4,2.4,4.9,0
2011/11/25,11.4,15.7,8.1,0,9.4,3,5.4,0
2011/11/26,10.9,13.7,7.4,0,8.3,2.2,4.6,0
2011/11/27,11,14.9,7.2,0,5.6,1.7,4,0
2011/11/28,12.1,14.7,8.8,0,0,1.7,3.1,0
2011/11/29,14.4,17.7,11.7,0,1,1.4,2.7,0
2011/11/30,14.6,19.4,11.2,0,5.7,2.7,5.3,0
2011/12/1,7.8,11.6,5.5,4.5,0,3.4,5.8,0
2011/12/2,6.1,7.4,4.2,1.5,0,3.7,6.1,0
2011/12/3,11.1,18.9,6.7,35,0.5,3.4,5.9,0
2011/12/4,13.4,16.3,10.3,0,9.3,4.3,8.7,0
2011/12/5,11,16.3,8.3,0,9.2,2.6,6.2,0
2011/12/6,8,9.8,6.5,9.5,0,1.9,3.7,0
